zone_class,centroid_lon,centroid_lat,geometry_type
residential,72.647763,23.00732,MultiPolygon
residential,72.66969,23.006461,MultiPolygon
residential,72.671338,23.005212,MultiPolygon
residential,72.658507,23.006433,MultiPolygon
residential,72.660632,22.996596,MultiPolygon
residential,72.670195,23.001838,MultiPolygon
residential,72.649002,23.016581,MultiPolygon
residential,72.568467,23.008448,MultiPolygon
residential,72.56117,23.02336,MultiPolygon
residential,72.561065,23.017777,MultiPolygon
residential,72.560515,23.017593,MultiPolygon
residential,72.563358,23.015914,MultiPolygon
residential,72.562793,23.016643,MultiPolygon
residential,72.621637,23.008247,MultiPolygon
residential,72.61038,23.004189,MultiPolygon
residential,72.621688,23.021343,MultiPolygon
residential,72.620326,23.021525,MultiPolygon
residential,72.616662,23.026142,MultiPolygon
residential,72.624899,23.021341,MultiPolygon
residential,72.616745,23.024195,MultiPolygon
residential,72.611101,23.026359,MultiPolygon
residential,72.612378,22.994145,MultiPolygon
residential,72.55593,23.021847,MultiPolygon
residential,72.583773,23.025626,MultiPolygon
residential,72.582244,23.025597,MultiPolygon
residential,72.564517,23.015656,MultiPolygon
residential,72.570834,23.013742,MultiPolygon
residential,72.451506,23.211083,MultiPolygon
residential,72.569287,23.021103,MultiPolygon
residential,72.56583,23.017385,MultiPolygon
residential,72.689,23.212307,MultiPolygon
residential,72.565929,23.018318,MultiPolygon
residential,72.564254,23.018373,MultiPolygon
residential,72.564139,23.018869,MultiPolygon
residential,72.565327,23.019263,MultiPolygon
residential,72.584619,23.025089,MultiPolygon
residential,72.584105,23.02513,MultiPolygon
residential,72.584672,23.025812,MultiPolygon
residential,72.585019,23.024721,MultiPolygon
residential,72.58527,23.023784,MultiPolygon
residential,72.593942,23.026015,MultiPolygon
residential,72.590375,23.026896,MultiPolygon
residential,72.596141,23.023785,MultiPolygon
residential,72.592721,23.023438,MultiPolygon
residential,72.610586,22.992719,MultiPolygon
residential,72.590045,23.019684,MultiPolygon
residential,72.585923,23.022464,MultiPolygon
residential,72.587443,23.026257,MultiPolygon
residential,72.562595,23.018242,MultiPolygon
residential,72.555855,23.018769,MultiPolygon
residential,72.55555,23.017153,MultiPolygon
residential,72.565769,23.005569,MultiPolygon
residential,72.564615,23.007823,MultiPolygon
residential,72.56754,22.996703,MultiPolygon
residential,72.585173,23.017685,MultiPolygon
residential,72.584861,23.016132,MultiPolygon
residential,72.57952,23.019312,MultiPolygon
residential,72.581759,23.016912,MultiPolygon
residential,72.584589,23.018931,MultiPolygon
residential,72.586209,23.00981,MultiPolygon
residential,72.58566,23.01402,MultiPolygon
residential,72.590196,23.01107,MultiPolygon
residential,72.587732,23.017366,MultiPolygon
residential,72.597393,23.026418,MultiPolygon
residential,72.596252,23.020851,MultiPolygon
residential,72.584159,23.022942,MultiPolygon
residential,72.580345,23.018994,MultiPolygon
residential,72.584975,23.005296,MultiPolygon
residential,72.571545,22.999071,MultiPolygon
residential,72.572953,23.003165,MultiPolygon
residential,72.55494,23.020387,MultiPolygon
residential,72.558368,23.021554,MultiPolygon
residential,72.567486,23.027267,MultiPolygon
residential,72.608757,22.968983,MultiPolygon
residential,72.6006,22.997477,MultiPolygon
residential,72.592409,22.885892,MultiPolygon
residential,72.578198,22.994305,MultiPolygon
residential,72.576379,22.980182,MultiPolygon
